fieldName,code,definition
geoform,Mound/Hummock,Coastal and Marine Ecological Classification Standard
geoform,Mud Volcano,Coastal and Marine Ecological Classification Standard
geoform,Natural Levee,Coastal and Marine Ecological Classification Standard
geoform,Overhang (Cliff),Coastal and Marine Ecological Classification Standard
geoform,Panne,Coastal and Marine Ecological Classification Standard
geoform,Pavement Area,Coastal and Marine Ecological Classification Standard
geoform,Platform,Coastal and Marine Ecological Classification Standard
geoform,Pockmark Field,Coastal and Marine Ecological Classification Standard
geoform,Pockmark,Coastal and Marine Ecological Classification Standard
geoform,Ridge,Coastal and Marine Ecological Classification Standard
geoform,Ripples,Coastal and Marine Ecological Classification Standard
geoform,Rock Outcrop,Coastal and Marine Ecological Classification Standard
geoform,Rubble Field,Coastal and Marine Ecological Classification Standard
geoform,Runnel/Rill,Coastal and Marine Ecological Classification Standard
geoform,Sediment Wave Field,Coastal and Marine Ecological Classification Standard
geoform,Scarp/Wall,Coastal and Marine Ecological Classification Standard
geoform,Scar,Coastal and Marine Ecological Classification Standard
geoform,Seamount,Coastal and Marine Ecological Classification Standard
geoform,Sediment Sheet,Coastal and Marine Ecological Classification Standard
geoform,Shelf Valley,Coastal and Marine Ecological Classification Standard
geoform,Shoal,Coastal and Marine Ecological Classification Standard
geoform,Shore Complex,Coastal and Marine Ecological Classification Standard
geoform,Shore,Coastal and Marine Ecological Classification Standard
geoform,Slope,Coastal and Marine Ecological Classification Standard
geoform,Spit,Coastal and Marine Ecological Classification Standard
geoform,Stack,Coastal and Marine Ecological Classification Standard
geoform,Submarine Slide Deposit,Coastal and Marine Ecological Classification Standard
geoform,Swale/Slack,Coastal and Marine Ecological Classification Standard
geoform,Terrace,Coastal and Marine Ecological Classification Standard
geoform,Tidepool,Coastal and Marine Ecological Classification Standard
geoform,Till Surface,Coastal and Marine Ecological Classification Standard
geoform,Tombolo,Coastal and Marine Ecological Classification Standard
geoform,Atoll,Coastal and Marine Ecological Classification Standard
geoform,Burrows/Bioturbation,Coastal and Marine Ecological Classification Standard
geoform,Coral Reef Island,Coastal and Marine Ecological Classification Standard
geoform,Mollusk Reef,Coastal and Marine Ecological Classification Standard
geoform,Deep/Cold-Water Coral Reef,Coastal and Marine Ecological Classification Standard
geoform,Shallow/Mesophotic Coral Reef,Coastal and Marine Ecological Classification Standard
geoform,Tree Fall,Coastal and Marine Ecological Classification Standard
geoform,Whale Fall,Coastal and Marine Ecological Classification Standard
geoform,Worm Reef,Coastal and Marine Ecological Classification Standard
geoform,Aquaculture Structure,Coastal and Marine Ecological Classification Standard
geoform,Artificial Bar,Coastal and Marine Ecological Classification Standard
geoform,Artificial Dike,Coastal and Marine Ecological Classification Standard
geoform,Artificial Reef,Coastal and Marine Ecological Classification Standard
geoform,Artificial Scar,Coastal and Marine Ecological Classification Standard
geoform,Buoy,Coastal and Marine Ecological Classification Standard
geoform,Breakwater/Jetty,Coastal and Marine Ecological Classification Standard
geoform,Breachway,Coastal and Marine Ecological Classification Standard
geoform,Bulkhead,Coastal and Marine Ecological Classification Standard
geoform,Cable Area,Coastal and Marine Ecological Classification Standard
geoform,Cable,Coastal and Marine Ecological Classification Standard
geoform,Canal,Coastal and Marine Ecological Classification Standard
geoform,Dam,Coastal and Marine Ecological Classification Standard
geoform,Dock/Pier,Coastal and Marine Ecological Classification Standard
geoform,Dredged/Excavated Channel,Coastal and Marine Ecological Classification Standard
geoform,Dredge Deposit,Coastal and Marine Ecological Classification Standard
geoform,Dredge Disturbance,Coastal and Marine Ecological Classification Standard
geoform,Drilling (Oil and Gas) Rig,Coastal and Marine Ecological Classification Standard
geoform,Fill Area,Coastal and Marine Ecological Classification Standard
geoform,Fish Pond,Coastal and Marine Ecological Classification Standard
geoform,Harbor,Coastal and Marine Ecological Classification Standard
geoform,Lock,Coastal and Marine Ecological Classification Standard
geoform,Lost/Discarded Fishing Gear,Coastal and Marine Ecological Classification Standard
geoform,Marina/Boat Ramp,Coastal and Marine Ecological Classification Standard
geoform,Mooring Field,Coastal and Marine Ecological Classification Standard
geoform,Mosquito Ditch,Coastal and Marine Ecological Classification Standard
geoform,Outfall/Intake,Coastal and Marine Ecological Classification Standard
geoform,Pilings,Coastal and Marine Ecological Classification Standard
geoform,Pipeline Area,Coastal and Marine Ecological Classification Standard
geoform,Rip Rap Deposit,Coastal and Marine Ecological Classification Standard
geoform,Salt Pond Complex,Coastal and Marine Ecological Classification Standard
geoform,Salt Pond,Coastal and Marine Ecological Classification Standard
geoform,Seawall,Coastal and Marine Ecological Classification Standard
geoform,Tidal/Wave Energy Structure,Coastal and Marine Ecological Classification Standard
geoform,Trash Aggregation,Coastal and Marine Ecological Classification Standard
geoform,Wharf,Coastal and Marine Ecological Classification Standard
geoform,Wind Energy Structure,Coastal and Marine Ecological Classification Standard
geoform,Wreck,Coastal and Marine Ecological Classification Standard
bait,Squid,
bait,Weed,
bait,Algae,
